Date,Company,Price,Change
2022-07-22,Tata Steel Ltd.,935.50,1.60 (0.17%)
2022-07-22,Tata Consultancy Services Ltd.,"3,170.00",-7.40 (-0.23%)
2022-07-22,Reliance Industries Ltd.,"2,502.90",16.80 (0.68%)
2022-07-22,ICICI Bank Ltd.,799.00,13.20 (1.68%)
2022-07-22,Infosys Ltd.,"1,506.85",-26.60 (-1.74%)
2022-07-22,ITC Ltd.,299.90,0.35 (0.12%)
Date,Company,Price,Change
2022-12-25,Tata Steel Ltd.,102.20,-5.40 (-5.02%)
2022-12-25,Tata Consultancy Services Ltd.,"3,227.30",-31.35 (-0.96%)
2022-12-25,Reliance Industries Ltd.,"2,501.55",-75.60 (-2.93%)
2022-12-25,ICICI Bank Ltd.,879.20,-11.75 (-1.32%)
2022-12-25,Infosys Ltd.,"1,497.55",-24.95 (-1.64%)
2022-12-25,ITC Ltd.,326.35,-5.75 (-1.73%)
